player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_G,team
Jamal Murray,21,47,46,33.5,7.0,16.1,.432,1.9,5.3,.365,5.0,10.9,.465,.492,2.6,3.1,.836,1.0,3.4,4.4,4.9,0.8,0.4,2.4,2.1,18.5,DEN
Nikola Jokic,23,47,47,31.2,7.6,15.0,.505,1.2,3.6,.322,6.4,11.3,.564,.544,3.8,4.5,.848,2.9,7.6,10.4,7.7,1.3,0.7,3.1,2.8,20.1,DEN
Gary Harris,24,30,25,29.7,5.6,12.8,.435,1.6,4.9,.329,4.0,7.9,.500,.497,2.4,2.9,.816,0.7,2.3,3.0,2.7,0.9,0.4,1.2,2.0,15.1,DEN
Paul Millsap,33,40,36,25.5,4.6,9.4,.491,0.7,2.0,.354,3.9,7.4,.527,.528,2.6,3.7,.714,2.1,4.6,6.7,1.8,1.3,0.8,1.3,2.4,12.5,DEN
Juan Hernangomez,23,46,25,24.6,2.7,5.8,.468,1.3,3.3,.399,1.4,2.5,.560,.582,1.3,1.7,.795,1.3,3.8,5.1,1.0,0.4,0.4,0.7,1.5,8.2,DEN
Monte Morris,23,48,1,24.1,4.1,8.5,.478,1.2,2.6,.441,2.9,5.9,.495,.546,0.7,0.9,.791,0.4,2.0,2.4,3.7,0.9,0.0,0.7,1.2,10.0,DEN
Will Barton,28,9,4,23.3,4.4,10.0,.444,1.9,4.2,.447,2.6,5.8,.442,.539,1.9,2.3,.810,1.0,3.7,4.7,3.0,0.2,0.6,1.3,2.7,12.7,DEN
Torrey Craig,28,43,36,23.0,2.4,5.5,.433,0.8,2.8,.292,1.6,2.7,.576,.506,0.7,1.1,.609,1.5,2.7,4.2,1.0,0.5,0.6,0.9,2.6,6.3,DEN
Malik Beasley,22,48,7,22.7,4.0,8.2,.486,1.8,4.4,.417,2.1,3.8,.566,.598,0.5,0.6,.929,0.4,2.1,2.5,1.2,0.6,0.1,0.6,1.5,10.3,DEN
Mason Plumlee,28,48,12,19.8,3.2,5.1,.618,0.0,0.1,.250,3.1,5.0,.624,.620,1.3,2.6,.516,2.0,3.9,5.9,2.6,1.0,0.9,1.5,3.1,7.7,DEN
Trey Lyles,23,46,1,19.0,3.5,8.4,.422,0.8,3.2,.257,2.7,5.2,.525,.472,1.4,2.0,.710,0.8,3.5,4.3,1.4,0.5,0.4,1.2,1.7,9.3,DEN
Nick Young,33,4,0,9.3,0.8,2.3,.333,0.8,2.0,.375,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.3,0.3,0.5,0.0,0.3,0.5,1.0,2.3,DEN
Tyler Lydon,22,19,0,4.1,0.4,0.8,.500,0.2,0.5,.400,0.2,0.3,.667,.625,0.1,0.2,.333,0.3,0.5,0.7,0.2,0.1,0.0,0.2,0.5,1.1,DEN
Jarred Vanderbilt,19,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,DEN
Brandon Goodwin,23,13,0,3.7,0.4,1.4,.278,0.2,0.3,.500,0.2,1.1,.214,.333,0.7,0.8,.818,0.1,0.2,0.2,0.9,0.0,0.0,0.2,0.5,1.6,DEN
Thomas Welsh,22,9,0,3.7,0.6,1.1,.500,0.3,0.8,.429,0.2,0.3,.667,.650,0.1,0.2,.500,0.0,0.4,0.4,0.4,0.0,0.0,0.1,0.2,1.6,DEN
DeVaughn Akoon-Purcell,25,7,0,3.1,0.4,1.4,.300,0.0,0.6,.000,0.4,0.9,.500,.300,0.1,0.3,.500,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0,DEN
Paul George,28,48,48,36.0,9.1,20.3,.447,3.6,8.9,.402,5.5,11.4,.482,.535,5.4,6.5,.830,1.5,6.6,8.1,4.0,2.3,0.5,2.6,2.8,27.1,OKC
Russell Westbrook,30,41,41,35.4,8.3,20.0,.414,1.2,4.7,.247,7.1,15.3,.465,.443,3.9,6.0,.649,1.5,9.3,10.8,10.7,2.3,0.3,4.5,3.5,21.6,OKC
Steven Adams,25,48,48,34.1,6.5,10.6,.613,0.0,0.0,.000,6.5,10.5,.615,.613,2.4,4.3,.556,4.7,5.3,10.0,1.8,1.5,0.8,1.6,2.6,15.4,OKC
Jerami Grant,24,49,46,32.0,4.9,9.4,.519,1.1,3.1,.351,3.8,6.3,.601,.576,2.1,3.0,.699,0.9,4.0,4.9,1.0,0.9,1.4,0.8,2.7,12.9,OKC
Dennis Schroder,25,48,10,28.5,5.7,14.0,.410,1.4,4.2,.338,4.3,9.8,.440,.461,2.4,2.9,.832,0.4,3.0,3.4,4.4,1.0,0.1,2.5,2.2,15.3,OKC
Terrance Ferguson,20,42,42,23.4,2.4,5.5,.437,1.3,3.4,.389,1.0,2.0,.518,.559,0.4,0.6,.640,0.5,1.4,1.9,0.7,0.5,0.3,0.6,3.0,6.5,OKC
Alex Abrines,25,29,2,19.8,1.9,5.3,.359,1.4,4.3,.323,0.5,1.0,.517,.490,0.4,0.4,.923,0.2,1.4,1.6,0.7,0.6,0.2,0.5,1.8,5.6,OKC
Patrick Patterson,29,49,3,14.5,1.5,3.8,.385,0.8,2.4,.347,0.6,1.4,.449,.495,0.4,0.6,.621,0.7,1.7,2.4,0.6,0.3,0.2,0.3,0.7,4.1,OKC
Nerlens Noel,24,45,1,13.8,2.1,3.6,.588,0.0,0.0,,2.1,3.6,.588,.588,0.8,1.1,.729,1.7,2.8,4.5,0.5,1.0,1.3,0.6,2.2,5.0,OKC
